"","Country","Total deaths per 1000 people","Birth mortality per 1000 live births","Life expectancy in years","Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (per 1000 people)","Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (per 1000 people)","Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (per 1000 people)","Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: All Ages (per 1000 people)","pm10_avg","no2_avg","o3_avg","pm25_avg"
"1","Andorra",4.4,2.6,NA,2.21294975537573,0.266620452454908,0.51990988228707,0.613227040646288,36.5,26.551032,109.0625,NA
"2","Austria",9.5,2.9,81.6926829268293,3.65725051724893,0.132458256702292,0.379615635775312,0.473388389666175,33.242196425,19.8862310416667,123.556031932692,14.1679208636364
"3","Belgium",9.7,3.4,81.5951219512195,2.87799462573643,0.541521900570348,0.633234077654661,0.68679118870008,36.8408175873016,26.9433479473684,124.001678871795,12.9973170597015
"4","Bosnia and Herzegovina",12.056,5.2,77.093,5.49479152114523,0.121171873184812,0.354398318416742,0.69820880325423,105.4355435,20.5049645,96.982453125,44.9684936666667
"5","Bulgaria",15.4,5.8,74.9634146341464,11.2111865033593,0.282276093350113,0.430033322244424,0.664480486010252,56.5037837837838,20.1360188095238,98.21847915,19.5864424285714
"6","Croatia",12.9,4,78.0707317073171,5.93393630821927,0.136013051381866,0.455252317664842,0.702326385822547,50.1294232,16.4995866153846,119.5717484,16.4719939
"7","Cyprus",6.612,2.3,81.382,2.44004295919615,0.131273326654803,0.424176936753332,0.369206231216633,54.1666666666667,16.6034723333333,121.303495666667,12.55556275
"8","Czechia",10.6,2.5,79.0292682926829,4.80793472919102,0.319193130941244,0.387679013442048,0.587209998035735,44.5770924396552,18.5561429552239,128.365892866667,20.51858515625
"9","Denmark",9.5,3.3,80.9536585365854,2.58663126230229,0.419598331686699,0.776196502507234,0.742021072777095,35.3089167142857,15.0476466153846,107.310696375,12.91285975
"10","Estonia",11.9,1.9,78.2439024390244,6.14609785192934,0.170199632822659,0.229958615013726,0.543125939407418,24.3,4.92101842857143,NA,6.4521922
"11","Finland",9.9,1.9,81.7341463414634,4.50927155619819,0.132716287207473,0.364063257804108,0.464144392419579,24.4188938717949,12.3380798333333,96.9904172352941,6.0429326875
"12","France",9.1,3.4,82.6756097560976,2.4100652386506,0.332378634447649,0.320317587323619,0.593522639955349,28.8513081722222,19.724520802005,117.394157420712,10.4509670408163
"13","Germany",11.5,3.2,80.8926829268293,4.28874791869161,0.294888962026798,0.537151920236396,0.643224136043973,30.6443805340314,28.1258510212766,125.863923717557,12.8135619015544
"14","Greece",11.2,3.7,81.7878048780488,5.03518067188291,0.547290094123834,0.579527474540389,0.798108094358999,47.2994791875,32.8655427142857,115.541666666667,16.59935225
"15","Hungary",13.4,3.5,76.0658536585366,6.41916926736913,0.126540013445772,0.625334763293453,0.942349720179828,47.3010416666667,21.6834452083333,114.663004176471,18.5780028333333
"16","Iceland",6.4,1.6,82.8609756097561,1.98740647707395,0.283510196444215,0.311861216088637,0.405419580915228,18.6515953,7.418278,NA,4.018256375
"17","Ireland",6.4,2.8,82.2048780487805,2.07383288859815,0.338790413443467,0.510548318621598,0.437201940453424,23.7666666666667,15.5122562857143,94.9657291666667,7.98646933333333
"18","Italy",10.5,2.7,83.3463414634146,3.82916684320351,0.20098719401752,0.508475754430192,0.607248117234586,39.1512571104762,21.2185509154229,119.741187061765,15.2283047583643
"19","Latvia",15,3.6,74.7829268292683,8.14768152745938,0.18265086598304,0.224162426433731,0.492430885846322,39.8333333333333,15.75930725,95.47525,14.1684174
"20","Lithuania",14.1,3.3,75.6804878048781,7.61937261002241,0.192393977176149,0.280202731137805,0.476880062165742,41.6170547857143,15.199051,95.9807692307692,12.8499105714286
"21","Luxembourg",7.1,2.3,82.2951219512195,2.12188502343943,0.217123118677523,0.353647503906571,0.463853935356526,28.7475,27.3331875555556,125.65,10.62707125
"22","Malta",7.6,5.7,82.4487804878049,2.99403668778243,0.381734519117677,0.313641334626416,0.39205166828302,46.7566666666667,15.65872725,107.765625,12.08828075
"23","Montenegro",10.5,2.4,76.8414634146342,6.43977198032229,0.112499136167347,0.13821322443417,0.85017204332181,97.58,19.9910625,107.345,NA
"24","Netherlands",8.9,3.5,81.8121951219512,2.41109021413188,0.353652099186937,0.610331330349362,0.751931448829199,33.3815830615385,23.4596317681159,110.547180232558,12.4429268888889
"25","North Macedonia",9.5,7.1,76.6487804878049,6.68860721205924,0.0866961401433473,0.312587749739069,0.609762852341542,95.3100831538462,22.5796185,98.204015,NA
"26","Norway",7.7,2,82.7585365853659,2.36920162141118,0.380653609733286,0.519210017628291,0.443531110055204,30.014638244898,21.5384754222222,103.1357374,7.28891675555556
"27","Poland",10.9,3.9,77.6024390243903,4.52442741558536,0.312391786647707,0.294221818445151,0.812592577962989,59.8757552252252,17.9480586014493,115.645443291262,23.6273125894737
"28","Portugal",11,2.9,81.3243902439024,3.5359421818075,0.791145548804715,0.669498169065937,0.454986482652072,29.4578167954545,19.9787410222222,107.270714285714,7.74881358333333
"29","Romania",13.6,6.1,75.3585365853659,7.5914156178735,0.329465435142398,0.410599379582078,0.568913272434948,41.34,22.0617305258621,98.8210223626374,18.6104258571429
"30","Serbia",14.6,5,75.890243902439,9.04734107791305,0.226133402381117,0.55466413389618,1.04029957878178,74.0203021666667,25.584825875,97.8543367142857,NA
"31","Slovakia",10,4.9,77.2658536585366,4.83203718313107,0.335978876292027,0.208747531335538,0.45696799076003,43.7278543939394,18.98806092,117.120546875,17.99984784375
"32","Slovenia",9.9,1.9,81.3780487804878,3.66508606515087,0.324028132585368,0.299918896529909,0.60514182499202,43.2105263157895,18.6675692222222,121.012931583333,15.3699915
"33","Spain",9.1,2.7,83.4317073170732,2.75171325529853,0.295826162939358,0.767002621536068,0.522738762206408,29.6058451213873,16.3051432386831,108.75430092804,9.3280566178344
"34","Sweden",9.1,2.2,82.5585365853659,3.54135057994849,0.27940444299255,0.440482136297084,0.422792090662663,33.774105673913,14.4570366588235,103.914453038462,6.46760570967742
"35","Switzerland",7.9,3.6,83.7536585365854,2.7548853233179,0.222331084457742,0.35434383613788,0.444074923578828,25.3327533333333,22.2652861818182,130.994245741935,10.896071125
"36","Turkey",5.065,9.2,77.563,2.09791643702258,0.178095929896959,0.395100531215671,0.353184951294845,83.1961196470588,30.7739195769231,92.8441692285714,22.7252093783784
"37","United Kingdom",9.2,3.7,81.2560975609756,2.77505334609764,0.620836389291033,0.770203657086096,0.633355132799192,27.4008705384615,24.0838930263158,96.1147989866667,10.0259765571429
